idx_song,lyrics,year,decade
1950_10.txt,"Usted
Es la culpable de todas mis angustias
Y todos mis quebrantos
Usted llenó mi vida
De dulces inquietudes
Y amargos desencantos
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted",1951,1950
1950_11.txt,"No vengo a pedirte amores
ya no quiero tu cariño
Si una vez te amé en la vida no lo vuelvas a decir
Me contaron tus amigos
que te encuentras muy dolida
Que maldices a tu suerte
porque piensas mucho en mi
Es por eso que he venido a reirme de tus penas
Yo que ha dios le había pedido que te hundiera mas que a mi
Dios me ha dado ese capricho
y he venido a verte un día
Pa` que sepas tu en la vida
lo que tú me hiciste a mi
Ya lo ves como el destino
todo cobra nada olvida
Ya lo ves como un cariño nos arrastra y los humilla
Que bonita es la venganza
cuando dios nos la concede
Ya sabía en la revancha te tenía que hacer perder
Ahi te dejo mis desprecios
yo que tanto te adoraba
Pa´que veas cual es el precio de las leyes del querer",1951,1950
1950_12.txt,"Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo
Y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor
Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo, y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor",1951,1950
1950_13.txt,"Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo
Y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor
Cuando recibas esta carta sin razón
Ufemia
Ya sabrás que entre nosotros todo terminó
Y no la des en recibida por traición
Ufemia
Te devuelvo tu palabra
Te la vuelvo sin usarla
Y que conste en esta carta que acabamos de un jalón
No me escribiste
Y mis cartas anteriores no sé sí las recibiste
Tú me olvidaste
Y mataron mis amores el silencio que les diste
A ver sí a esta si le das contestación
Ufemia
Del amor pa' qué te escribo, y aquí queda como amigo
Tu afectísimo y atento, y muy seguro servidor",1952,1950
1950_14.txt,"Te duele saber de mi
Amor, amor que malo eres
Quien iba a imaginar que una mentira
Tuviera cabida en un madrigal
No quieres saber quien soy
Después de darte lo que tienes
Ahora para ti soy vagabundo
Que va por el mundo como un criminal
Por haber querido tanto
Es mi desesperación
La voz del corazón llegara
A tu conciencia como una maldición
Te duele saber de mi
Amor cuidado con la vida
Las torres que del cielo se creyeron
Un día cayeron en la humillación
Te duele saber de mi
Amor, amor que malo eres
Quien iba a imaginar que una mentira
Tuviera cabida en un madrigal
No quieres saber quien soy
Después de darte lo que tienes
Ahora para ti soy vagabundo
Que va por el mundo como un criminal
Por haber querido tanto
Es mi desesperación
La voz del corazón llegara
A tu conciencia como una maldición
Te duele saber de mi
Amor cuidado con la vida
Las torres que del cielo se creyeron
Un día cayeron en la humillación
Amor",1952,1950
1950_15.txt,"La noche cubre ya con su negro crespón
De la ciudad las calles que cruza la gente
Con pausada acción
La luz artificial con débil proyección
Propicia la penumbra que esconde en su sombra
Venganza y traición
Después de laborar, vuelve a su humilde hogar
Luis Enrique, el plebeyo, el hijo del pueblo
El hombre que supo amar
Y que sufriendo está esa infamante ley
De amar a una aristócrata siendo plebeyo él
Trémulo de emoción, dice así en su canción
El amor, siendo humano, tiene algo de divino
Amar no es un delito porque hasta Dios amó
Y si el cariño es puro y el deseo es sincero
¿Por qué robarme quieren la fé del corazón?
Mi sangre, aunque plebeya, también tiñe de rojo
El alma en que se anida mi incomparable amor
Ella de noble cuna y yo humilde plebeyo
No es distinta la sangre ni es otro el corazón
Señor ¿por qué los seres no son de igual valor?",1952,1950
1950_16.txt,"Si me alejo de ti
Es porque he comprendido
Que soy la nube gris
Que nubla tu camino
Me voy para dejar
Que cambie tu destino
Que seas muy feliz
Mientras yo busco olvido
Y otra vez volveré a ser
El errante trovador
Que va en busca de otro amor
Del amor de una mujer
Se perdió el celaje azul
Donde brillaba la ilusión
Vuelve la desolación
Vivo sin luz
Si me alejo de ti
Es por que yo quisiera
Que seas muy feliz
Aunque mi amor se muera
Me voy sin perturbar
Tus sueños tan queridos
Me voy con el pesar
De no ser comprendido
Y otra vez volveré a ser
El errante trovador
Que va en busca de otro amor
Del amor de una mujer
Se perdió el celaje azul
Donde brillaba la ilusión
Vuelve la desolación
Vivo sin luz",1952,1950
1950_17.txt,"Peso Sobre Peso 
¡OYE bartola!
Hay te dejo estos dos pesos,
Pagas la renta,
El teléfono y la luz.
De lo que sobre,
Coge de ahí para tu gasto,
Guárdame el resto,
Pa' comprarme mi alicur.
El dinero que yo gano,
Toditito te lo doy,
Te doy peso sobre peso,
Siempre hasta llegar a dos.
Tu no aprecias mis centavos,
Y los gastas que da horror,
Yo por eso no soy rico,
Por ser despilfarrador.
¡Mira bartola!,
Hay te dejo estos dos pesos,
Pagas la renta,
El teléfono y la luz.
De lo que sobre,
Coge de ahí para tu gasto,
Guárdame el resto,
Pa' comprarme mi alicur.
Si te alcanza pa' la criada,
Pos le pagas de un jalón,
Tienes peso sobre peso,
Aunque no pasen de dos.
Guárdate algo pa' mañana,
Que hay que ser conservador,
Ya verás como te ahorras,
Pa' un abrigo de bisón
Pedro Infante
¡Pobre Bartola!",1952,1950
1950_18.txt,"Arre mulas no se me queden!
Mire pues chula
Ya se devisa mi pueblo
Ya vamos llegando a Pénjamo
Ya brillan allá sus cúpulas,
De Corralejo parece un espejo
Mi lindo Pénjamo.
Sus torres cuatas
Son dos alcayatas,
Prendidas al sol.
Su gran variedad de pájaros
Que silban de puro júbilo,
Y ese paseo Churipitzeo
Que tiene Pénjamo.
Parece un suspiro
Que allá en Guangüitiro
Se vuelve canción.
(Pues fíjese nomás mire)
Que yo parecía de Pénjamo,
Me dijo una de Cuerámaro
(Pos ora pos mire señora)
Que soy de Pénjamo...
Lo habrá notado
Por lo atravesado
Que somo allá pues.
Arre mulas no se me queden!
Acérquese chula acerquese.
Al cabo por todo México
Hay muchos que son de Pénjamo,
Si una muchacha te mira y se agacha
Es que es de pénjamo,
O si te mira y ya luego suspira
También es de allá.
Si un hombre por una pérfida
Se mata por otro prójimo,
Si es decidido y muy atrevido
Pos es que es de Pénjamo.
Si a quemaropa te invitan la copa
Pues ya ni que hablar.
Hágase para acá chula pues...
Si quiere vivir en Pénjamo
Mi tierra feliz y cálida,
Ora hágase pa′ca pues...
Deme un besito que sienta bonito
Y aquí está Pénjamo,
Con sus rincones sus bellas canciones
Que le hablan de amor.
Ya llegamos pues.",1952,1950
1950_19.txt,"Estoy en el rincón de una cantina
Oyendo una canción que yo pedí
Me están sirviendo ahorita mi tequila
Ya va mi pensamiento rumbo a ti
Yo se que tu recuerdo es mi desgracia
Y vengo aquí nomas a recordar
Que amargas son las cosas que nos pasan
Cuando hay una mujer que paga mal
Quien no sabe en esta vida, la traición tan conocida
Que nos deja un mal amor
Quien no llega a la cantina
Exigiendo su tequila y exigiendo su canción
Me están sirviendo ya la del estribo
Ahorita, ya no se si tengo fe
Ahorita, solamente ya les pido
Que toque otra vez ""La que se fue""
Quien no sabe en esta vida, la traición tan conocida
Que nos deja un mal amor
Quien no llega a la cantina
Exigiendo su tequila y exigiendo su canción",1952,1950
1950_20.txt,"Estoy en el rincón de una cantina
Oyendo una canción que yo pedí
Me están sirviendo ahorita mi tequila
Ya va mi pensamiento rumbo a ti
Yo se que tu recuerdo es mi desgracia
Y vengo aquí nomas a recordar
Que amargas son las cosas que nos pasan
Cuando hay una mujer que paga mal
Quien no sabe en esta vida, la traición tan conocida
Que nos deja un mal amor
Quien no llega a la cantina
Exigiendo su tequila y exigiendo su canción
Me están sirviendo ya la del estribo
Ahorita, ya no se si tengo fe
Ahorita, solamente ya les pido
Que toque otra vez ""La que se fue""
Quien no sabe en esta vida, la traición tan conocida
Que nos deja un mal amor
Quien no llega a la cantina
Exigiendo su tequila y exigiendo su canción",1953,1950
1950_21.txt,"Que se quede el infinito sin estrellas
O que pierda el ancho mar su inmensidad
Pero el negro de tus ojos que no muera
Y el canela de tu piel se quede igual
Si perdiera el arcoíris su belleza
Y las flores su perfume y su color
No sería tan inmensa mi tristeza
Como aquella de quedarme sin tu amor
Me importas tú y tú y tú y solamente tú y tú y tú
Me importas tú y tú y tú y nadie más que tú
Ojos negros piel canela que me llegan a desesperar
Me importas tú y tú y tú y solamente tú y tú y tú
Me importas tú y tú y tú y nadie más que tú
Ojos negros piel canela que me llegan a desesperar
Me importas tú y tú y tú y solmente tú y tú y tú
Me importas tú y tú y tú y nadie más que tú",1953,1950
1950_22.txt,"Por la lejana montaña
Va cabalgando un jinete
Vaga solito en el mundo
Y va deseando la muerte
Lleva en el pecho una herida
Va con su alma destrozada
Quisiera perder la vida
Y reunirse con su amada
La quería mas que a su vida
Y la perdió para siempre
Por eso lleva una herida
Por eso busca la muerte
Con su guitarra cantando
Se pasa noches enteras
Hombre y guitarra llorando
A la luz de las estrellas
Después se pierde en la noche
Y aunque la noche es muy bella
El va pidiéndole a dios
Que se lo lleve con ella
La quería mas que a su vida
Y la perdió para siempre
Por eso lleva una herida
Por eso busca la muerte",1953,1950
1950_23.txt,"Ya viene el negro zumbon
Bailando alegre el baion
Repica la zambomba
Y llama a la mujer
Ya viene el negro zumbon
Bailando alegre el baion
Repica la zambomba
Y llama a la mujer
Tengo gana de bailar el nuevo compás
Dicen todos cuando me ven pasar
¿Chica, dónde vas?
¡Me voy a bailar, el baión!
Tengo gana de bailar el nuevo compás
Dicen todos cuando me ven pasar
¿Chica, dónde vas?
¡Me voy a bailar, el baión!
Ya viene el negro zumbon
Bailando alegre el baion
Repica la zambomba
Y llama a la mujer
Ya viene el negro zumbon
Bailando alegre el baion
Repica la zambomba
Y llama a la mujer
Tengo gana de bailar el nuevo compás
Dicen todos cuando me ven pasar
¿Chica, dónde vas?
¡Me voy a bailar, el baión!
Tengo gana de bailar el nuevo compás
Dicen todos cuando me ven pasar
¿Chica, dónde vas?
¡Me voy a bailar, el baión!",1953,1950
