Decade,Year,IssueDate,Song,Artist,Lyrics
1970,1975,May 31,"""Luna blanca""",Karina,"Quiero que no me olvides cuando te vayas lejos de aquí quiero que tus recuerdos cuando estés lejos vuelvan a mí. 
Paso días y noches sobre la arena mirando al mar mirando al horizonte por si te veo llegar mirando al horizonte por si te veo llegar. 
Pero si una mañana no me ves cerca al despertar deja brotar tu llanto para que calmes la soledad. 
Paso días y noches sobre la arena mirando al mar mirando al horizonte por si te veo llegar. 
mirando al horizonte por si te veo llegar. 
El día que el destino nos separe dile a la luna blanca que nos ampare.
El dia que el destino nos separe dile a la luna blanca que nos ampare. 
Si en tu nuevo camino has encontrado a otra mujer dile que me has tenido y que olvidaste nuestro querer.
Paso días y noches sobre la arena mirando al mar mirando al horizonte por si te veo llegar. 
mirando al horizonte por si te veo llegar."
1970,1975,June 7,"""Se me olvidó otra vez""",Juan Gabriel,"Probablemente ya de mí te has olvidado
Y mientras tanto yo te seguiré esperando
No me he querido ir
Para ver si algún día que tú quieras volver
Me encuentres todavía
Por eso aún estoy en el lugar de siempre
En la misma ciudad
Y con la misma gente
Para que tú al volver
No encuentres nada extraño
Y sea como ayer
Y nunca más dejarnos
Probablemente estoy
Pidiendo demasiado
Se me olvidaba que
Ya habíamos terminado
Que nunca volverás
Que nunca me quisiste
Se me olvidó otra vez
Que solo yo te quise
Por eso aún estoy
En el lugar de siempre
En la misma ciudad
Y con la misma gente
Para que tú al volver
No encuentres nada extraño
Y sea como ayer
Y nunca más dejarnos
Probablemente estoy
Pidiendo demasiado
Se me olvidaba
Que ya habíamos terminado
Que nunca volverás
Que nunca me quisiste
Se me olvidó otra vez
Que solo yo te quise"
1970,1975,June 21,"""Mi corazón lloró""	",King Clave	,"¿Hola?
Escucha, dime si tu mamá hoy quisiera atenderme
¿Es el señor que hablo ayer? Yo le voy a avisar, pero creo que se está
Bañando y no sé si lo pueda atender
Dile por favor que es algo importante y le quiero hablar
Usted le hizo algo a mi mamá ella siempre me hace señas
Y me dice despacito dile que no estoy
Y mientras dime si es que ya vas a la escuela
Y si cuidas tu lección
Oh, sí, pero como mi mamá trabaja la señora del vecino me lleva al colegio
Y no le digo nada más porque yo no tengo papa
Dile son seis años que sufriendo estoy es justo tu edad
Ah no yo solo tengo cinco años pero dígame
¿Desde cuándo conoce mi mamá?
Mi corazón lloró y ella no contestó, pasan mis días sin fe
Por este amor quemándome, mi corazón lloro y
Y también se alegró, al escuchar la voz que me atendió
Dime si vas de vacaciones como el año pasado
A las playas del mar
Oh, sí me gusta bañarme y ahora ya sé nadar
Pero dígame cómo es que, que sabe que hace un año me fui de vacaciones
Dile a tu mamá que yo la quiere mucho y también a ti
Pero si yo no lo conozco, ahora dígame ¿qué le pasa?
¿Por qué ha cambiado su voz? ¿Está llorando?
Mi corazón lloró y ella no contesto
Pasan mis días sin fe con este amor quemándome
Mi corazón lloró y también se alegró al escuchar
La voz que me atendió
Dile que atienda
Pero ya se fue
Y si se ha marchado, entonces adiós
Adiós señor
Adiós hijito"
1970,1975,August 2,"""Llueve sobre mojado""",Camilo Sesto,"Sé que no basta con llorar
Con ponerme de rodillas
Y pedirte perdón
Y con hablarte de mi amor
Para que decidas volver otra vez
Sé que es difícil compartir
Los días y las noches
Pero sé que me quieres
Como yo te quiero a ti
Por qué debemos sufrir
Por qué debemos sufrir
Si lloro es porque te añoro
Si río es porque le temo al vacío
Lucho por estar contigo
Y aunque llueve sobre mojado
Estoy más enamorado
Sé que la distancia hace olvidar
Y que te duele tanto a ti como a mí
Y el dolor te hace perder la razón
No me importa pedirte perdón, perdón
Si lloro es porque te añoro
Si río es porque le temo al vacío
Lucho por estar contigo
Y aunque llueve sobre mojado
Estoy más enamorado
Sé que no basta con llorar
Con ponerme de rodillas
Y pedirte perdón
Y con hablarte de mi amor
Para que decidas volver otra vez
Sé que es difícil compartir
Los días y las noches
Pero sé que me quieres
Como yo te quiero a ti
Por qué debemos sufrir
Por qué debemos sufrir"
1970,1975,August 16,"""Llorarás""",Los Terrícolas,"Te vas y ya veras
Que no es tan fácil olvidar
Esos momentos
Que soliamos pasar
Esos instantes
Que siempre recordaras
Te vas muy buena suerte
Te deseo al partir
Le pedire
A Dios que te haga muy feliz
Más al final estoy seguro
Lloraras por mi
Lloraras, lloraras
Cuando te acuerdes de mi
Sufriras cuando intentes ser feliz
Y al señor le pediras
Volver a mi
Y veras y veras
Que no es tan fácil olvidar
Olvidar cuando se ha
Aprendido a amar en la forma
Como te he enseñado yo
Lloraras, lloraras
Cuando te acuerdes de mi
Sufriras cuando intentes ser feliz
Y al señor le pediras
Volver a mi
Y veras y veras
Que no es tan fácil olvidar
Olvidar cuando se ha
Aprendido a amar en la forma
Como te he enseñado yo"
1970,1975,September 19,"""El alacrán""",La Pandilla,"Y me sigo preguntando, ¿el qué? 
¿Qué cómo se mata y dices se mata así? 
Fuá, ay, fuá, ay, fuá, fuá, fuá. 
El alacrán, el alacrán 
El alacrán te va a picar 
El alacrán, el alacrán 
El alacran te va a picar. 
Vengan todos caballeros 
A matar el alacrán 
¡Qué animal tan peligroso! 
Pa’ los mentas y las paz. 
Que pulula por la noche 
Y por el día se va. 
El alacrán, el alacrán 
El alacrán te va a picar 
El alacrán, el alacrán 
El alacran te va a picar 
Se le cortan las uñitas, ¡sí señor! 
Se le corta una patita, ¡sí señor! 
Y por qué no otra patita, ¡sí señor! 
Se le cortan los ojitos, ¡sí señor! 
Y los hay amarillitos, ¡sí señor! 
Y también verdecitos, ¡sí señor! 
Y me sigo preguntando, ¿el qué? 
¿Qué cómo se mata y dices se mata así? 
Fuá, ay, fuá, ay, fuá, fuá, fuá. 
El alacrán, el alacrán 
El alacrán te va a picar 
El alacrán, el alacrán 
El alacran te va a picar 
Vengan todos señoritos 
A enterrar el alacrán 
Lo mataron por picante 
Y ahora ya no pica más."
1970,1975,November 1,"""¿Por qué nos dijimos adiós?"" (""We Said Goodbye"")",Grupo Yndio / Dave Maclean,"Aún tengo fresco el recuerdo
De tu piel sobre mi pielLas mañanas maravillosas que compartimos
En busca de renovar nuestro cariño
La cálida sonrisa que asomaba entre tus labios
Para expresarme tantas cosas y tu cuerpo frágil
Y tu mirada llena de misterio y dulzura para mi
Hoy mi vida solo esta llena de nostalgia y de amargura
Porque el destino separo el camino de los dos
Porque amor mío si tú me amabas
Tuviste que decirme para siempre adiós
No encontrarás amor igual
Como el que dejas hoy así
A nadie más podrás amar oh no
Porque tu amor se queda aquí
No encontraré otra mujer
Que a mí me quiera como tú
A nadie más podré querer oh no
Pues tú te llevas mi amor
Todo mi amor
Y porque nos dijimos adiós
Tú me dijiste adiós a mi
Y yo te dije adiós, queriéndonos así"
1970,1975,November 22,"""Te tendré que olvidar""	",Rigo Tovar & el Conjunto Costa Azul	,"Mirando a través de mi ventana
La lluvia caer
Pensando en lo mucho que te ame
Y pensando en que
Te tendré que olvidar
Hoy solo me queda pensar
De aquel amor que yo te di
Que por tus locuras perdí
Todo lo bello que yo viví
Pero voy a tratar, de encontrar un amor
Que me sepa comprender
Que me de felicidad
Después por ahí me veras, caminar
Muy feliz
Con otro querer que quizás va ocupar tu lugar
Y veras lloraras sufrirás al pensar
Que el amor que yo te daba
Es el amor que le daré
Y veras lloraras sufrirás al pensar
Que el amor que yo te daba
Es el amor que le daré
Es el amor que le daré
Es el amor que le daré
Es el amor que le daré"
1970,1976,January 17,"""Una carta""",Los Terrícolas,"Oh, carta de Néstor
Que me dira
Recordada Lennis
Pensando en mil cosas quizá
Distante de mis amigos
Con el humo por testigo
Esta carta empece a redactar
Querida mía perdona
Si te ofendo al escribirte
Pero me siento muy triste
Por lo que anoche paso
Más no estoy arrepentido
Y si acaso tu lo estas
Ya no debes llorar más
Tienes que tener valor
Por si Dios te manda un hijo
Por lo más grande te exijo
Que no le pongas mi nombre
Para que no sea como yo
Que nunca pruebe licor
Que nunca sufra una pena
Y que nunca se enamore
De la mujeres ajenas
Que nunca sienta rencor
Que a mi me corre en las venas
Por que es triste soportar
Esta terrible condena"
1970,1976,January 23,"""Esclavo y amo""",Los Pasteles Verdes,"No se, que tienen tus ojos
No se, que tiene tu boca
Que dominan mis antojos
Y a mi sangre vuelve loca
No se, como fui a quererte
Ni como te fui adorando
Me siento morir mil veces
Cuando no te estoy mirando
De noche cuando me acuesto
A Dios le pido olvidarte
Y al amanecer despierto
Tan solo, para adorarte
Que influencia tienen tus labios
Que cuando me besan tiemblo
Y hacen que me sienta esclavo
Y amo del universo"
1970,1976,April 23,"""Dolannes Melodie""",Jean-Claude Borelly,"que siempre ha hecho lo que se requiere de usted.
Nadie ha agradecido siempre.
Usted era fiable, se han adaptado a ti mismo.
Pero todo lo que han odiado.
haber espalda riendo de ti.
carrera que tienes hecho.
que haya alcanzado su meta y ahora te das cuenta
que no está satisfecho de todos modos.
Debido a que no es tan fácil,
sólo para ser quien eres
de que un niño debería.
para lo que se han alcanzado,
es ser así,
como usted como un niño nunca quiso.
que una vez fueron en el amor, pero eso fue hace mucho tiempo.
Hoy en día hay más amor.
Haga que su sentimiento acaba de matar en algún momento
lo que puede hacer daño a nada.
Debido a que no es tan fácil,
que acaba de ser
de ti como un niño ya sea que debería.
por lo que han logrado,
es que sea así,
como usted como un niño nunca quiso.
a saber solo, siempre solo, terriblemente estar solo, siempre solo. Maldita
solo.
Una vida sola.
Mire a su alrededor. Ver finalmente
Usted está solo -. Te quedas solo! Solo!
Solo! Solo! Solo!
Por lo que hemos logrado,
es que sea así,
cómo eres como un niño, no quería.
A saber, un batería.
Ded tenía ma a cabo."
1970,1976,July 3,"""Nomás contigo""",Mario Quintero,"Eso que llaman amor
Mi corazón lo sintió
Nomás contigo
A nadie puedo querer
Con nadie puedo yo estar
Nomás contigo
Quiero que vuelvas a mi
Yo necesito de ti
Es tan difícil vivir
Sin tu cariño
Ven a calmar mi dolor
Ven a mis noches de amor
Quiero sentirte otra vez
Como la última ves
Nomás contigo
Ya muchas bocas besé
Pero también comprobé
Que no es lo mismo
Porque sin ti descubrí
Que no me siento feliz
Si no es contigo
Quiero que vuelvas a mí
Yo necesito de ti
Es tan difícil vivir
Sin tu cariño
Ven a calmar mi dolor
Ven a mis noches de amor
Quiero sentirte otra vez
Como la última ves
Nomás contigo
Nomás contigo
Nomás contigo
Nomás contigo"
1970,1976,July 10,"""Jamás""",Camilo Sesto,"Que no me falte tu cuerpo jamás, jamás
Ni el calor de tu forma de amar, jamás
Ni la ternura de tu despertar
Que no me falte jamás
Que tu cariño no sea fugaz, jamás
Sin ti no habría encontrado esta paz, jamás
Que me da calma y acaricia mi alma
Que no me falte jamás
Jamás, jamás he dejado de ser tuyo
Lo digo con orgullo
Tuyo, nada más
Jamás, jamás mis manos han sentido
Más piel que tu piel
Porque hasta en sueños te he sido fiel
No dejaré de quererte jamás, jamás
No dejarás de quererme jamás, jamás
Con un amor sin cadenas ni edad
Que no me falte jamás
Jamás, jamás he dejado de ser tuyo
Lo digo con orgullo
Tuyo, nada más
Jamás, jamás mis manos han sentido
Más piel que tu piel
Porque hasta en sueños te he sido fiel
Que no me falte tu cuerpo jamás, jamás
Tus risas ni tus silencios jamás, jamás
Que no me falten tus besos jamás, jamás
Que no me falte tu cuerpo jamás"
1970,1976,August 14,"""A mi guitarra""	",Juan Gabriel	,"Yo ya no me siento solo
Ya tengo una amiga
Ya soy muy feliz
Es una linda guitarra
La que me aconseja
Lo que hay que decir, si
Todas estas cosas bellas
Que yo te canto
No salen de mí
Salen de mi guitarra
Porque ella bien sabe
Lo que traígo aquí
Tengo mi guitarra
Que me acompaña
A donde quiera
Para darle serenata
A la chica que más me quiera
Ya no me siento solo
Tampoco triste
Como hace poco
Mi guitarra me ha dado, la alegría
Me ha dado todo
Y ahora
Llevo por siempre conmigo
Mi linda guitarra
Yo ya no estoy solo
Ella me acompaña
Y ahora
Llevo por siempre conmigo
Mi linda guitarra
Yo ya no estoy solo
Ella me acompaña
Hay veces que te recuerdo
Con mi guitarra
Y empiezo a cantar
Así es como hago canciones
Que luego te canto
Y te hacen llorar, si
Pero
Pero ahora te aseguro
Que esta que hoy canto
No es para ti
Es para mi guitarra
Porque ella bien sabe
Lo que traigo aquí
Tengo mi guitarra
Que me acompaña
A donde quiera
Para darle serenata
A la chica que más me quiera
Ya no me siento solo
Tampoco triste
Como hace poco
Mi guitarra me ha dado, la alegría
Me ha dado todo
Llevo ahora por siempre conmigo
Mi linda guitarra
Yo ya no estoy solo
Ella me acompaña
Y ahora
Llevo por siempre conmigo
Mi linda guitarra
Yo ya no estoy solo
Ella me acompaña"
1970,1976,September 10,"""Hoy tengo ganas de ti""",Miguel Gallardo,"Fuiste ave de paso
Y no se por que razón
Me fui acostumbrando cada día mas a ti
Los dos inventamos la aventura del amor
Llenaste mi vida, y después te vi partir
Sin decirme adiós yo te vi partir
Quiero en tus manos abiertas buscar mi camino
Y que te sientas mujer solamente conmigo
Hoy tengo ganas de ti, hoy tengo ganas de ti
Quiero apagar en tus labios la sed de mi alma
Y descubrir el amor juntos cada mañana
Hoy tengo ganas de ti, hoy tengo ganas de ti
No hay nada mas triste
Que el silencio y el dolor
Nada mas amargo que saber que te perdí
Hoy busco en la noche el sonido de tu voz
Y donde te escondes para llenarme de ti
Llenarme de ti, llenarme de ti"
1970,1976,September 18,"""Hoy tengo ganas de ti""",Miguel Gallardo,"Fuiste ave de paso
Y no se por que razón
Me fui acostumbrando cada día mas a ti
Los dos inventamos la aventura del amor
Llenaste mi vida, y después te vi partir
Sin decirme adiós yo te vi partir
Quiero en tus manos abiertas buscar mi camino
Y que te sientas mujer solamente conmigo
Hoy tengo ganas de ti, hoy tengo ganas de ti
Quiero apagar en tus labios la sed de mi alma
Y descubrir el amor juntos cada mañana
Hoy tengo ganas de ti, hoy tengo ganas de ti
No hay nada mas triste
Que el silencio y el dolor
Nada mas amargo que saber que te perdí
Hoy busco en la noche el sonido de tu voz
Y donde te escondes para llenarme de ti
Llenarme de ti, llenarme de ti"
1970,1976,October 2,"""17 años""	",Juan Gabriel & María Victoria	,"Tu me dices que me quieres
Y yo quiero ser tu amigo
Yo sé bien que eres muy joven
Para hablarte de mi amor
Para mi eres muy joven
Y yo soy mayor que tú
Si te digo que me gustas
Que te quiero y si te asustas
Mejor no te hablo de amor
Si te digo que me gustas
Que te quiero y si te asustas
Mejor no te hablo de amor
Ya no te voy a hablar de amores
Yo solo quiero ser tu amigo
Ya no te voy hablar de amores
Yo solo quiero ser tu amigo
Para mi tu eres muy joven
No debo hablarte de amor
A tus 17 años crees
Creen que aman de adeverás
Pero son solo ilusiones
Ilusiones pasajeras
Para mi tu eres muy joven
Pues yo soy mayor que tu
Si te digo que me gustas
Que te quiero y si te asustas
Mejor no te hablo de amor
Si te digo que me gustas
Que te quiero y si te asustas
Mejor no te hablo de amor
Ya no te voy hablar de amores
Yo solo quiero ser tu amigo
Ya no te voy hablar de amores
Yo solo quiero ser tu amigo
Para mi tu eres muy joven
No debo hablarte de amor
Para mi tu eres muy joven
No debo hablarte de amor"
1970,1976,October 16,"""Luto en el alma""",Los Terrícolas,"Los Terrícolas
Luto en mi alma
Hay luto en mi alma
El amor que un día
Era mi alegría
Era mi ilusión
Hay luto en mi alma
La he visto con otro
Llevaba sus libros
Le hablaba al oído
Palabras de amor
Sintiendo en el pecho
El rencor y el celo
Miraba a las chicas
Saliendo de clases
Y yo estaba ahí
Quizás sin aliento
Pensando en mi suerte
Pero sin llorar
Aquel dolor, aquel dolor
Dentro de mí
Mi alma angustiada
Lloraba en silencio
Por tanta crueldad
Ha muerto un amor
Ha muerto un amor
Dentro de mí
Mi alma angustiada
Lloraba en silencio
Por tanta crueldad
Ha muerto un amor
Ha muerto un amor
Ha muerto un amor
Ha muerto un amor
Pulsera de cuero para hombre"
1970,1976,November 13,"""América (Llevo en mi pecho los colores)""	",Carlos Reinoso	,"Recuerdo que, un día fue
cuando mi padre a su lado me llamó.
Me dijo él, tu porvenir
será seguir una carrera en el futbol.
Tras el balón, con el crecí
y un día ví que se cumplía su ilusión
de verme, al fin, un jugador
que debutaba en la primera división.
Tiempo pasó, alguien llegó
con un contrato y de crema me vistió
y así llegué a este país
donde la gente me entregó su corazón.
¡América!
Llevo en mi pecho los colores del América.
Con fibra juega y se entrega el América.
En el ""Azteca"" suena el grito del campeón.
Me llegará el día que
para mi suenen las campanas del adiós.
Me llevaré en el corazón
los compañeros, a los niños y la afición."
1970,1976,December 3,"""Una lágrima y un recuerdo""",Grupo Miramar,"Llorando me aleje
Con un recuerdo en mi mente
Por tu amor dulce mujer
Que tu dijiste tenerme
Una lágrima rodó
Por mi triste mejilla
Y el recuerdo de tu amor
Que hace sufrir a mi vida
Una lágrima y un recuerdo
Que por vida llevare
Por tu culpa traicionera
Bella y falsa mujer
Llorando me aleje
Con un recuerdo en mi mente
Por tu amor dulce mujer
Que tu dijiste tenerme
Una lágrima rodó
Por mi triste mejilla
Y el recuerdo de tu amor
Que ase sufrir a mi vida
Una lágrima y un recuerdo
Que por vida llevare
Por tu culpa traicionera
Bella y falsa mujer"
1970,1977,January 14,"""Llamarada""",Manolo Muñoz,"Necesito olvidar
Para poder vivir
No quisiera pensar
Que todo lo perdí
En una llamarada
Se quemaron nuestras vidas
Quedando las pavesas
De aquel inmenso amor
Y no podré llorar
Tampoco he de morir
Mejor guardo silencio
Porque ha llegado el fin
Lo nuestro terminó
Cuando acabó la luz
Como se va la tarde
Al ir muriendo el sol
Siempre recordaré
Aquellos ojos verdes
Que guardan el color
Que los trigales tienen
A veces yo quisiera reír
A carcajadas
Como en las mascaradas
Porque se fue su amor
Pero me voy de aquí
Te dejo mi canción
Amor te vas de mí
También me voy de ti
Lo nuestro terminó
Tal vez me extrañarás
Tal vez yo soñaré
Con esos ojos verdes
Como maresSiempre recordaré
Aquellos ojos verdes
Que guardan el color
Que los trigales tienen
A veces yo quisiera reír
A carcajadas
Como en la mascarada
Porque se fue su amor
Pero me voy de aquí
Te dejo mi canción
Amor te vas de mí
También me voy de ti
Lo nuestro terminó
Tal vez me extrañarás
Tal vez yo soñaré
Con esos ojos verdes
Como mares"
1970,1977,January 29,"""Canción del Chapulín Colorado""	",Chespirito	,"Oh, y ahora, ¿quien podrá defenderme?
¡Yo!
¡El Chapulín Colorado!
Más ágil que una tortuga
Más fuerte que un ratón
Más noble que una lechuga
Mi escudo és un corazon
El bribon de alma sucia
El malechor desalmado
No contaban con mi astucia
El Chapulín Colorado
iChanfle! iChanfle!
iMis antenitas de vinil están detectando la presencia del enemigo!
Acabo con el tirano
El criminal y el ladron
Fulmino a todo villano
Con mi chipote chillon
El bribon de alma sucia
El malechor desalmado
No contaban con mi astucia
El Chapulín Colorado
iChanfle! iChanfle!
iCalma, Calma, que no panda el cunico!
iChanfle! iChanfle!
iTodos mis movimientos estan friamente calculados!
Tarzanes y kalimanes
Le riden adimiracion
Batmanes y Supermanes
Le van a pedir perdon
El bribon de alma sucia
El malechor desalmado
No contaban con mi astucia
El Chapulín Colorado
iChanfle! iChanfle!
iLo sospeche desde un principio!
El bribon de alma sucia
El malechor desalmado
No contaban con mi astucia
El Chapulín Colorado
iChanfle! iChanfle!
iSe aprovechan de mi nobleza!
El bribon de alma sucia
El malechor desalmado
No contaban con mi astucia
El Chapulín Colorado
iChanfle! iChanfle!"
1970,1977,February 26,"""Triángulo""	",Los Baby's	,"Estoy, en medio, de un triángulo, sin solución
ni siquiera, justificación
Me enamore cuando la vi por primera vez, sabiéndola, un imposible
También, en medio, de un triángulo
ella quedo por que igual que yo se estremeció
Comprometió su corazón y nunca pensó, que perteneciendo a otro
Poner sus ojos en mi, eso haría de nosotros
Culpables de convertir nuestro querer, en un triángulo
Triángulo, triángulo, nuestro querer
Estoy en medio de un triángulo,
sin solución, ni siquiera justificación
Me enamore, cuando la vi por primera vez, sabiéndola un imposible
También en medio de un triángulo,
ella quedo, por que igual que yo se estremeció
Comprometió su corazón y nunca pensó, que perteneciendo a otro
Poner sus ojos en mi, eso haría de nosotros
Culpables de convertir nuestro querer, en un triángulo,
Triángulo, triángulo, , nuestro querer
Triángulo, triángulo, nuestro querer"
1970,1977,April 23,"""Un día con mamá""",Cepillín,"Papi, di por qué niños como
Ya no tienen con quien jugar
Ya no tienen una mamá
Papi, di por qué
Lloras como yo
No tienes con quien jugar
O también quieres una mamá
Yo no sé por qué mamá al cielo tuvo que ir
A papá le voy a pedir que me deje ir con mi mamá
Al cielo voy a ir y le voy a decir
Que no tengo con quien jugar y con ella me voy a quedar"
1970,1977,May 5,"""Vive""",Napoleón,"Nada te llevaras cuando te marches
Cuando se acerque el día de tu final
Vive feliz ahora, mientras puedes
Tal vez mañana no tengas tiempo
Para sentirte despertar
Siente correr la sangre por tus venas
Siembra tu tierra y ponte a trabajar
Deja volar libre tu pensamiento
Deja el rencor para otro tiempo
Y echa tu barca a navegar
Abre tus brazos fuertes, a la vida
No dejes nada a la deriva
Del cielo nada te caerá
Trata de ser feliz con lo que tienes
Vive la vida intensamente
Luchando lo conseguirás
Y cuando llegue al fin tu despedida
Seguro es que feliz sonreirás
Por haber conseguido lo que amabas
Por encontrar lo que buscabas
Porque viviste hasta el final
Abre tus brazos fuertes, a la vida
No dejes nada a la deriva
Del cielo nada te caerá
Trata de ser feliz con lo que tienes
Vive la vida intensamente
Luchando lo conseguirás"
1970,1977,May 20,"""Siempre en mi mente""",Juan Gabriel,"Tu estas siempre en mi mente
Pienso en ti amor cada instante
Como quieres tu
Que te olvide si estas tu
Siempre tu, tu siempre en mi mente
Tu estas siempre en mi mente
Pienso en ti amor cada instante
Como quieres tu que te olvide si estas tu
Siempre tu, tu  siempre en mi mente
Que voy hacer no se no encuentro nada nada
La solución no se como encontrarla
Dime trato de olvidarte y yo
Quiero olvidarte y yo no se
Como te olvido
Siempre en mi mente
Tu estas siempre en mi mente
Como hiciste tu para olvidarme
Ayudaré a olvidar
En mi mente siempre estas
Siempre tu , tu siempre en mi mente
Que voy hacer no se no encuentro nada nada
La solución no se como encontrarla
Dime trato de olvidarte y yo
Quiero olvidarte y yo no se
Como te olvido
Siempre en mi mente
Como te olvido
Siempre en mi mente
Vida mía
Siempre en mi mente
Como te olvido
Siempre en mi mente"
1970,1977,July 29,"""Gavilán o paloma""",José José,"No dejabas de mirar, estabas sola
Completamente bella y sensual
Algo me arrastró hacia ti como una ola
Y fui y te dije: Hola, ¿qué tal?
Esa noche entre tus brazos, caí en la trampa
Cazaste al aprendiz de seductor
Y me diste de comer sobre tu palma
Haciéndome tu humilde servidor
Amiga
Hay que ver como es el amor
Que vuelve a quien lo toma
Gavilán o paloma
Pobre tonto, ingenuo charlatán
Que fui paloma por querer ser gavilán
Amiga
Hay que ver como es el amor
Que vuelve a quien lo toma
Gavilán o paloma
Fui bajando lentamente tu vestido
Y tú no me dejaste ni hablar
Solamente suspirabas: Te necesito
Abrázame más fuerte, más
Al mirarte me sentí desengañado
Solo me dio frío tu calor
Lentamente te solté de entre mis brazos
Y dije: Estate quieta, por favor
Amiga
Hay que ver como es el amor
Que vuelve a quien lo toma
Gavilán o paloma
Pobre tonto, ingenuo charlatán
Que fui paloma por querer ser gavilán
Amiga
Hay que ver como es el amor
Que vuelve a quien lo toma
Gavilán o paloma
Pobre tonto, ingenuo charlatán
Que fui paloma por querer ser gavilán"
1970,1977,October 29,"""Pajarillo""	",Napoleón,"Maquillaje a granel
Usaba a diario
Y vendía la piel
A precio caro
De las ocho a las diez
En una esquina
Era joven y fiel
Era rosa y espina
Y se llamaba
No sé
Nunca lo supe
Nunca le pregunté
Nunca dispuse
De su tiempo y su piel
Era un mocoso
Y tan solo le miré
De pozo en pozo
Y era un pajarillo
De blancas alas
De balcón en balcón
De plaza en plaza
Vendedora de amor
Ofrecedora
Para el mejor postor
De su tonada
Cinco inviernos pasaron
Y ahí seguía
La misma hora de ayer
La misma esquina
Era joven y fiel
Y aún tenía
La rosa de su piel
Y más grande la espina
Y sonreía al pasar
De los mirones
Bajo de aquel farol
Noche tras noche
Veinte veces se la llevaron presa
Y cantó su canción
Tras de las rejas
Y era un pajarillo
De blancas alas
De balcón en balcón
De plaza en plaza
Vendedora de amor
Ofrecedora
Para el mejor postor
De su tonada
Se le arrugó la piel
Y el maquillaje
Suficiente no fue
Para taparle
La huella que dejó
El sexto invierno
Se le acabó el color
Y hasta el aliento
Y de las ocho a las diez
Solo en la esquina
Se quedó aquel farol
Y aquella espina
La rosa no sé yo
Donde se iría
Se llamaba no sé
Y sonreía
Y era un pajarillo
De blancas alas
De balcón en balcón
De plaza en plaza
Vendedora de amor
Ofrecedora
Para el mejor postor
De su tonada
Y era un pajarillo
De blancas alas
De balcón en balcón
De plaza en plaza
Vendedora de amor
Ofrecedora
Para el mejor postor
De su tonada"
1970,1977,November 4,"""Hombre""",Napoleón,"Hombre de fachada triste
Dale al tiempo buena cara
No seas casi mar, ni casi rio se mar, o rio, o nada
Hombre de mediana estampa
Dale vida a tu esperanza
No es mejor el que va aprisa
Para caminar distancias
Para caminar distancias
Hombre si te dices hombre
No interrumpas tu jornada
O harás de esta vida tumba
Y de la tumba morada
Si has de tener una rosa
Tienes que mirar la espina
Si no sabes del dolor
No sabrás de la alegría
No le pidas al señor
Hombre que te de una casa
Agradécele mejor
Que tienes vida y trabaja
De que te sirve la voz
Para que quieres palabras
Si te espantas al menor
Movimiento de olas bravas
Movimiento de olas bravas
Hombre si te dices hombre
No interrumpas tu jornada
O harás de esta vida tumba
Y de la tumba morada
Si has de tener una rosa
Tienes que mirar la espina
Si no sabes del dolor
No sabrás de la alegría
No es más hombre el que parece
Ni el que grita más y espanta
Sino el que tiene en su voz
La verdad de su palabra
Ni el que tiene más mujeres
Ni el que bebe más y aguanta
Sino el que tiene una sola
Y una sed para calmarla
Y una sed para calmarla
Hombre si te dices hombre
No interrumpas tu jornada
O harás de esta vida tumba
Y de la tumba morada
Si has de tener una rosa
Tienes que mirar la espina
Si no sabes del dolor
No sabrás de la alegria"
1970,1977,December 9,"""Tarde""",Rocío Dúrcal,"Hoy que te hago tanta falta ya es muy tarde
Lamentablemente te he olvidado
Yo te dije que no ibas a olvidarme
No soy fácil de olvidar lo has comprobado
Yo te dije y te jure que eras mi vida
Que eras todo lo mejor que había tenido
Que a mi madre y a ti solo quería
Que para ella y para ti yo había nacido
Y esa tarde que dijiste que volvías
Muy segura estaba yo que no vendrías
Yo sabía que te esperaba otro cariño
Y lo que ella quería de ti también sabía
Pero que fueras capaz yo no creía
Que me hicieras tanto daño, tanto daño
Y hoy que dices que te hago mucha falta
No puedo volver contigo, te he olvidado
Te perdono todo el daño que me hiciste
Pero no me pidas que vuelva contigo
Me da pena que me pidas que regrese
Cuando yo no puedo ya ni ser tu amiga
Me da pena que me pidas que regrese
Cuando yo no puedo ya ni ser tu amiga
Yo te dije y te jure que eras mi vida
Que eras todo lo mejor que había tenido
Que a mi madre y a ti solo quería
Que para ella y para ti yo había nacido
Te perdono todo el daño que me hiciste
Pero no me pidas que vuelva contigo
Me da pena que me pidas que regrese
Cuando yo no puedo ya ni ser tu amiga
Me da pena que me pidas que regrese
Cuando yo no puedo ya ni ser tu amiga"
