Decade,Year,IssueDate,Song,Artist,Lyrics
1950,1950,November,"""Soy feliz""",Juan Bruno Tarraza,"No es aventura ni capricho 
Ni dulce sueño de ilusión 
Si ya por fin unimos 
Dos almas en un solo corazón 
Es que estoy 
Tan enamorada 
Como nunca lo había estado 
En mi corazón hay fiesta 
Soy dichosa, soy feliz 
Tus miradas me parecen 
Dos luceros que se acercan 
Que se acercan y me besan 
Con un beso nada más 
Es que al fin la vida quizo 
Que pudiera yo tener 
Un amor tan verdadero 
Que es mi dicha y mi ilusión 
Pero es que estoy 
Tan enamorada 
Como nunca lo había estado 
En mi corazón hay fiesta 
Soy dichosa, soy feliz."
1950,1950,December,"""Ella""",José Alfredo Jiménez,"Me cansé de rogarle, me cansé de decirle
Que yo sin ella de pena muero
Ya no quiso escucharme si sus labios se abrieron
Fue pa' decirme ya no te quiero
Yo sentí que mi vida se perdía en un abismo profundo
Y negro como mi suerte
Quise hallar el olvido al estilo Jalisco
(No te rajes) pero aquellos mariachis
Y aquel tequila me hicieron llorar
Me cansé de rogarle, con el llanto en los ojos alcé mi copa
Y brindé con ella, no podía despreciarme
Era el último brindis de un bohemio con una reina
Los mariachis callaron
De mi mano sin fuerza cayó mi copa sin darme cuenta
Ella quiso quedarse cuando vio mi tristeza
Pero ya estaba escrito que aquella noche perdiera su amor."
1950,1951,January,"""El fronterizo""",Los Cuates Castilla,"Quien tuviera un airoplano 
Quien tuviera un airoplano 
Pa’ de un volido llegar 
Donde se encuentra la que amo 
Donde se encuentra la que amo 
Para llevarla a pasear. 
Quisiera ser hombre rico 
Quisiera ser hombre rico 
Para gastar mi dinero 
En comprale muchas cosas 
En comprale muchas cosas 
A la joven que yo quiero. 
Quisiera ser comerciante 
Quisiera ser comerciante 
Y estar bien establecido 
Para ganarme cien gramos 
Para ganarme cien gramos 
Lo que se gana en un kilo. 
Quisiera ser General 
Quisiera ser General 
Pa’ andar siempre bien vestido 
Para que no me haga menos 
Para que no me haga menos 
El que sea mas presumido. 
Pero es tan solo que pido 
Pero es tan solo que pido 
Que no lo puedo lograr 
Y mientras canto otra cosa 
Y mientras canto otra cosa 
Aquí le voy a mochar."
1950,1951,February,"""El fronterizo""",Los Cuates Castilla,"Quien tuviera un airoplano 
Quien tuviera un airoplano 
Pa’ de un volido llegar 
Donde se encuentra la que amo 
Donde se encuentra la que amo 
Para llevarla a pasear. 
Quisiera ser hombre rico 
Quisiera ser hombre rico 
Para gastar mi dinero 
En comprale muchas cosas 
En comprale muchas cosas 
A la joven que yo quiero. 
Quisiera ser comerciante 
Quisiera ser comerciante 
Y estar bien establecido 
Para ganarme cien gramos 
Para ganarme cien gramos 
Lo que se gana en un kilo. 
Quisiera ser General 
Quisiera ser General 
Pa’ andar siempre bien vestido 
Para que no me haga menos 
Para que no me haga menos 
El que sea mas presumido. 
Pero es tan solo que pido 
Pero es tan solo que pido 
Que no lo puedo lograr 
Y mientras canto otra cosa 
Y mientras canto otra cosa 
Aquí le voy a mochar."
1950,1951,March,"""Ella""",José Alfredo Jiménez,"Me cansé de rogarle, me cansé de decirle
Que yo sin ella de pena muero
Ya no quiso escucharme si sus labios se abrieron
Fue pa' decirme ya no te quiero
Yo sentí que mi vida se perdía en un abismo profundo
Y negro como mi suerte
Quise hallar el olvido al estilo Jalisco
(No te rajes) pero aquellos mariachis
Y aquel tequila me hicieron llorar
Me cansé de rogarle, con el llanto en los ojos alcé mi copa
Y brindé con ella, no podía despreciarme
Era el último brindis de un bohemio con una reina
Los mariachis callaron
De mi mano sin fuerza cayó mi copa sin darme cuenta
Ella quiso quedarse cuando vio mi tristeza
Pero ya estaba escrito que aquella noche perdiera su amor"
1950,1951,April,"""Ella""",José Alfredo Jiménez,"Me cansé de rogarle, me cansé de decirle
Que yo sin ella de pena muero
Ya no quiso escucharme si sus labios se abrieron
Fue pa' decirme ya no te quiero
Yo sentí que mi vida se perdía en un abismo profundo
Y negro como mi suerte
Quise hallar el olvido al estilo Jalisco
(No te rajes) pero aquellos mariachis
Y aquel tequila me hicieron llorar
Me cansé de rogarle, con el llanto en los ojos alcé mi copa
Y brindé con ella, no podía despreciarme
Era el último brindis de un bohemio con una reina
Los mariachis callaron
De mi mano sin fuerza cayó mi copa sin darme cuenta
Ella quiso quedarse cuando vio mi tristeza
Pero ya estaba escrito que aquella noche perdiera su amor"
1950,1951,May,"""Usted""",Gabriel Ruiz & José Antonio Zorrilla,"Usted
Es la culpable de todas mis angustias
Y todos mis quebrantos
Usted llenó mi vida
De dulces inquietudes
Y amargos desencantos
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted"
1950,1951,June,"""Usted""",Gabriel Ruiz & José Antonio Zorrilla,"Usted
Es la culpable de todas mis angustias
Y todos mis quebrantos
Usted llenó mi vida
De dulces inquietudes
Y amargos desencantos
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted"
1950,1951,July,"""Usted""",Gabriel Ruiz & José Antonio Zorrilla,"Usted
Es la culpable de todas mis angustias
Y todos mis quebrantos
Usted llenó mi vida
De dulces inquietudes
Y amargos desencantos
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted"
1950,1951,August,"""Usted""",Gabriel Ruiz & José Antonio Zorrilla,"Usted
Es la culpable de todas mis angustias
Y todos mis quebrantos
Usted llenó mi vida
De dulces inquietudes
Y amargos desencantos
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted
Su amor es como un grito
Que llevo aquí en mi sangre
Y aquí en mi corazón
Y soy, aunque no quiera
Esclavo de sus ojos
Juguete de su amor
No juegue con mis penas
Ni con mis sentimientos
Que es lo único que tengo
Usted es mi esperanza
Mi última esperanza
Comprenda de una vez
Usted me desespera, me mata, me enloquece
Y hasta la vida diera por vencer
El miedo de besarla a usted"
